timestamp,aX,aY,aZ,gX,gY,gZ
10512,157,-21,190,81.177,109.985,-80.627
10520,159,-38,161,73.303,119.202,-75.684
10529,170,-42,103,65.796,128.418,-70.007
10537,188,-40,38,59.631,136.902,-63.721
10545,202,-34,-20,55.298,143.250,-58.105
10554,209,-10,-69,53.650,146.057,-52.734
10563,206,20,-95,56.458,145.874,-47.546
10571,191,39,-100,63.843,143.921,-43.579
10580,175,17,-94,73.059,143.127,-41.443
10588,176,-60,-101,78.552,145.569,-40.588
10596,203,-167,-127,75.989,151.611,-40.222
10605,237,-273,-196,62.927,160.522,-38.330
10613,279,-334,-297,41.687,170.410,-33.264
10622,321,-310,-410,18.188,178.284,-26.306
10630,344,-216,-534,671,182.129,-18.066
10639,363,-112,-671,-4.700,182.922,-10.742
10647,377,-62,-771,2.563,179.138,-5.310
10656,400,-140,-896,16.785,171.204,-2.502
10664,476,-297,-975,26.733,160.583,-305
10673,561,-427,-1.021,23.865,149.475,2.319
10681,603,-525,-1.053,10.681,137.207,4.639
10689,661,-540,-1.088,-7.446,126.587,8.179
10698,692,-509,-1.130,-22.705,119.507,15.381
10706,708,-448,-1.178,-28.076,113.220,24.597
10715,702,-382,-1.208,-19.165,105.103,36.011
10723,676,-314,-1.226,-1.221,96.558,52.063
10732,641,-258,-1.238,18.921,87.463,71.655
10741,636,-223,-1.219,34.790,76.721,89.539
10749,635,-183,-1.177,37.354,67.444,101.929
10757,620,-143,-1.167,26.550,59.509,107.849
10766,626,-115,-1.196,8.850,52.917,108.765
10774,640,-47,-1.248,-11.108,46.387,106.873
10783,645,34,-1.337,-28.320,41.870,103.699
10791,671,113,-1.417,-36.377,33.936,102.539
10800,645,179,-1.464,-34.790,27.466,108.887
10808,620,213,-1.393,-21.179,7.996,113.464
10817,660,220,-1.338,-12.878,61,116.699
10825,645,188,-1.264,-12.390,-7.690,121.704
10833,645,184,-1.243,-15.747,-19.226,124.023
10842,646,158,-1.224,-26.611,-22.278,126.709
10850,662,196,-1.236,-40.649,-26.550,127.258
10859,666,271,-1.288,-52.979,-29.053,128.662
10867,684,358,-1.329,-57.983,-32.715,131.592
10876,677,447,-1.360,-55.054,-38.818,135.864
10884,670,534,-1.372,-48.767,-45.959,141.174
10893,665,595,-1.372,-41.687,-55.298,145.142
10901,663,658,-1.309,-36.926,-66.833,146.179
10910,641,728,-1.259,-37.292,-75.684,144.165
10918,624,796,-1.191,-38.635,-84.717,140.259
10927,613,898,-1.098,-38.330,-95.093,136.536
10935,589,1.033,-975,-34.912,-104.492,133.423
10943,545,1.153,-824,-24.658,-114.746,130.188
10952,513,1.237,-626,-9.827,-124.329,125.427
10960,500,1.279,-443,1.343,-127.869,116.821
10969,490,1.284,-301,2.747,-122.620,104.858
10978,520,1.236,-231,-5.798,-111.267,89.661
10986,569,1.204,-242,-22.217,-95.703,73.181
10995,606,1.193,-318,-41.382,-80.750,58.167
11003,639,1.174,-408,-52.917,-71.167,46.753
