timestamp,aX,aY,aZ,gX,gY,gZ
4973,760,-642,-121,-1.831,-3.113,916
4981,758,-647,-117,-1.404,-2.869,793
4989,758,-649,-116,-488,-1.465,427
,,,,,,
5633,374,-1.723,-512,11.292,14.221,35.767
5642,379,-1.837,-493,9.766,20.630,42.114
5650,379,-1.873,-474,6.104,26.733,46.875
5658,352,-1.794,-478,-2.991,30.823,48.645
5667,312,-1.623,-475,-16.174,33.508,48.035
5675,259,-1.418,-471,-28.931,36.438,47.974
5684,214,-1.252,-445,-38.147,39.673,50.293
5692,190,-1.146,-406,-41.992,42.664,55.847
5701,195,-1.060,-345,-41.260,44.556,65.857
5709,214,-938,-273,-40.649,45.105,78.918
5718,272,-731,-181,-41.748,42.175,92.346
5726,361,-495,-63,-41.260,37.415,104.309
5734,439,-248,15,-36.987,27.893,114.258
5743,499,-11,19,-30.518,11.108,122.925
5751,615,143,-54,-20.630,-5.554,127.869
5760,747,155,-172,-8.179,-16.174,122.925
5768,837,95,-226,916,-22.522,107.483
5777,930,100,-236,-2.502,-29.480,83.923
5785,1.044,254,-171,-20.386,-37.842,58.655
5794,1.150,601,-91,-46.082,-42.419,38.147
5802,1.238,996,14,-66.284,-44.983,27.771
5811,1.137,1.260,24,-80.322,-52.734,30.701
5819,1.216,1.388,86,-79.041,-52.063,42.603
5828,1.112,1.435,161,-61.768,-56.274,63.904
5836,1.125,1.349,222,-31.799,-37.537,78.491
5845,1.347,1.120,199,-4.883,-4.089,78.735
5853,1.577,973,176,13.306,29.602,70.740
5862,1.751,891,176,22.827,52.002,57.373
5870,1.908,834,174,23.926,64.697,41.504
5878,2.011,780,177,22.217,66.467,26.367
5887,2.010,732,185,20.508,53.711,9.033
5895,1.893,692,201,18.982,30.396,-9.216
5904,1.691,646,200,18.250,3.540,-25.574
5912,1.500,613,190,19.409,-19.043,-35.278
5921,1.358,597,174,19.897,-36.072,-38.513
5930,1.223,593,169,19.531,-47.363,-38.635
5938,1.149,586,143,22.095,-47.119,-39.063
5946,1.142,546,89,28.198,-33.997,-41.565
5955,1.160,458,28,35.400,-16.541,-46.509
5963,1.191,339,-16,40.405,-488,-54.199
5972,1.236,184,-57,43.030,10.742,-62.683
5980,1.248,24,-76,44.617,15.808,-69.580
5989,1.180,-129,-79,43.945,9.583,-73.059
5997,1.090,-262,-66,40.955,-4.822,-74.280
6006,978,-349,-30,37.659,-20.142,-74.524
6014,872,-370,-4,32.654,-32.654,-75.562
6023,814,-350,17,24.597,-39.185,-78.125
6031,782,-276,50,15.869,-37.720,-82.275
6040,768,-172,66,9.338,-29.419,-85.083
6048,779,-116,52,9.338,-17.822,-85.449
6056,768,-163,10,16.296,-8.362,-84.167
6065,744,-272,-46,27.588,-4.517,-83.252
6073,713,-370,-101,38.330,-8.240,-83.008
6082,663,-433,-148,44.678,-17.517,-80.566
6090,604,-482,-204,44.922,-28.320,-75.134
6099,539,-524,-233,41.260,-35.950,-67.505
6107,464,-586,-247,37.231,-37.170,-59.204
6116,431,-638,-235,36.560,-30.762,-52.795
6124,448,-679,-234,36.743,-20.569,-49.194
6133,477,-710,-236,36.316,-10.620,-47.302
6141,517,-702,-224,35.583,-3.540,-45.837
6149,565,-708,-199,32.959,0,-43.640
6158,633,-690,-146,31.738,2.014,-41.321
6166,716,-686,-114,31.738,5.371,-38.086
6175,790,-754,-97,35.706,10.437,-34.546
6184,838,-872,-103,43.823,13.367,-32.959
6192,849,-958,-150,50.171,12.756,-33.264
6200,839,-1.004,-208,50.598,10.315,-34.851
6209,822,-1.032,-269,45.288,5.676,-38.452
6217,776,-1.070,-304,38.574,122,-44.006
6226,727,-1.095,-327,34.485,-7.141,-52.246
6234,602,-1.120,-392,29.358,-20.264,-60.059
6243,426,-1.123,-451,28.320,-36.133,-66.406
6251,265,-1.127,-518,30.457,-53.711,-70.862
6260,89,-1.148,-598,31.921,-71.777,-70.496
6268,-64,-1.160,-658,32.532,-88.318,-65.186
6277,-202,-1.163,-706,31.006,-99.976,-56.152
6285,-289,-1.152,-720,27.710,-103.577,-43.091
6294,-305,-1.144,-728,17.517,-97.046,-25.513
6302,-243,-1.146,-680,488,-79.407,-3.967
6310,-113,-1.111,-573,-19.043,-50.354,16.663
6319,101,-1.015,-431,-34.485,-13.733,30.151
6327,358,-928,-289,-43.884,21.667,35.400
6336,607,-820,-180,-45.471,46.021,34.668
6344,810,-719,-119,-40.833,55.664,33.386
6353,964,-670,-106,-32.288,53.162,32.654
6361,1.071,-678,-107,-21.362,41.748,32.104
6370,1.122,-721,-127,-12.085,24.231,31.128
6378,1.108,-767,-144,-6.653,6.592,29.358
6386,1.053,-822,-139,-4.517,-4.272,25.208
6395,982,-864,-128,-5.493,-6.897,17.639
6404,908,-862,-119,-8.667,-2.625,8.057
6412,851,-834,-111,-11.536,5.310,-977
6421,795,-803,-110,-13.306,13.367,-6.409
6429,748,-778,-106,-14.954,18.555,-8.911
6437,711,-756,-95,-15.503,20.569,-9.399
6446,692,-726,-84,-15.137,19.958,-8.484
6454,691,-701,-69,-14.282,17.273,-5.737
6463,720,-677,-39,-13.550,13.245,-1.892
6471,756,-674,-19,-12.878,9.216,2.319
6480,796,-683,-1,-9.277,5.737,4.700
6488,817,-713,6,-4.517,2.258,4.456
6497,814,-747,10,-244,-671,1.953
6505,787,-754,-6,1.282,-4.639,-1.038
6513,744,-739,-24,793,-9.216,-3.235
6522,700,-709,-36,122,-13.489,-4.211
6531,670,-684,-54,-854,-15.198,-4.089
6539,658,-667,-76,-244,-13.855,-3.479
6548,660,-657,-94,1.038,-10.010,-2.747
6556,675,-666,-106,2.075,-5.554,-1.831
6565,706,-681,-122,2.747,-2.258,-977
6573,726,-687,-122,2.686,-671,61
6582,739,-691,-124,1.770,-1.709,732
6590,744,-691,-123,732,-4.333,1.038
6599,741,-692,-111,-61,-5.981,549
6607,737,-687,-98,-977,-6.226,-488
6615,729,-677,-90,-2.075,-5.066,-1.587
6624,719,-670,-86,-2.930,-2.930,-2.258
6632,714,-662,-81,-3.784,-305,-2.319
,,,,,,
7835,1.702,964,419,-61.340,56.091,16.785
7843,1.694,1.054,523,-55.847,39.368,14.099
7851,1.691,1.049,567,-40.161,28.503,10.132
7860,1.647,992,531,-19.958,17.822,7.446
7868,1.578,880,452,1.343,3.662,4.150
7877,1.474,690,372,20.203,-10.376,1.282
7885,1.354,490,298,32.959,-22.705,-1.770
7894,1.251,324,222,39.612,-30.579,-7.324
7903,1.171,194,152,41.016,-30.945,-15.137
7911,1.131,140,89,39.551,-27.344,-21.912
7920,1.127,135,52,35.400,-22.949,-26.489
7928,1.154,148,64,30.762,-14.832,-30.090
7936,1.237,181,108,28.259,-2.441,-32.959
7945,1.343,214,151,25.696,7.812,-35.339
7953,1.425,214,184,23.071,12.451,-39.856
7962,1.449,157,197,23.010,11.414,-47.852
7970,1.408,85,166,27.283,3.967,-57.617
7979,1.316,14,114,32.654,-9.033,-65.125
7987,1.215,-60,80,34.973,-25.330,-68.420
7996,1.094,-127,55,33.142,-39.185,-67.078
8004,1.010,-162,54,30.212,-45.471,-64.270
8013,979,-173,74,26.367,-44.250,-62.500
8021,954,-176,83,21.667,-38.330,-63.049
8030,956,-170,104,19.287,-29.907,-66.162
8038,967,-208,94,17.090,-21.729,-70.190
8046,947,-273,103,17.090,-15.076,-74.219
8055,898,-326,106,18.188,-11.292,-76.843
8063,836,-372,91,20.447,-11.108,-76.904
8072,771,-416,69,23.865,-13.733,-74.402
8080,682,-464,30,28.564,-16.479,-70.374
8089,622,-506,-5,33.813,-16.968,-66.650
8097,593,-535,-35,36.926,-13.123,-64.209
8106,557,-545,-76,36.194,-5.310,-62.622
8114,554,-544,-115,34.729,4.761,-62.378
8123,589,-548,-151,33.264,14.343,-63.171
8131,610,-578,-182,30.945,20.264,-63.354
8139,638,-636,-188,31.067,22.217,-63.232
8148,653,-692,-178,33.325,21.179,-62.134
8156,633,-741,-193,36.194,17.212,-59.326
8165,607,-773,-215,39.001,9.949,-55.664
8174,578,-792,-227,40.955,2.563,-51.147
