timestamp,aX,aY,aZ,gX,gY,gZ
11107,654,177,542,12.024,-109.741,4.639
11115,699,162,497,12.573,-114.563,-4.456
11123,677,81,536,8.362,-125.793,-15.808
11132,606,-11,677,-1.282,-141.724,-26.367
11140,530,-43,850,-14.954,-154.114,-31.555
11149,434,-26,958,-28.564,-155.640,-30.151
11157,398,0,987,-37.292,-145.447,-23.987
11166,406,46,937,-39.246,-129.395,-15.259
11175,443,171,868,-34.546,-115.479,-6.042
11183,515,320,832,-21.912,-108.215,-1.221
11191,591,361,860,-5.615,-107.239,-3.784
11200,610,272,917,7.324,-116.516,-14.282
11208,524,129,1.050,10.803,-136.902,-28.992
11217,387,-14,1.305,3.479,-155.518,-42.603
11225,296,-106,1.469,-9.827,-153.259,-45.044
11234,246,-163,1.490,-24.170,-137.146,-38.452
11242,219,-162,1.427,-38.330,-111.877,-26.489
11251,246,-95,1.304,-48.523,-76.538,-12.207
11259,357,4,1.151,-50.293,-47.241,1.343
11267,443,110,1.033,-40.039,-36.499,12.878
11276,518,200,977,-20.569,-38.696,18.188
11284,512,241,970,2.197,-52.185,16.113
11293,466,209,1.011,21.423,-69.885,9.521
11302,438,85,1.083,27.649,-81.787,-549
11310,397,-10,1.123,16.479,-82.947,-11.108
11318,357,-48,1.143,-3.479,-78.125,-18.250
11327,340,-43,1.166,-21.851,-71.289,-19.653
11335,302,-2,1.156,-34.302,-61.768,-16.602
11344,289,52,1.112,-38.879,-49.683,-10.864
11352,314,118,1.054,-36.621,-38.818,-5.005
11361,363,190,1.015,-28.931,-32.288,-1.465
11369,397,237,1.004,-16.968,-32.104,-732
11378,397,232,1.018,-3.296,-38.208,-3.113
11386,370,171,1.053,8.850,-46.082,-7.874
11395,334,93,1.087,15.625,-50.293,-12.756
11403,305,22,1.098,15.259,-49.377,-15.320
11411,291,-28,1.085,9.155,-44.067,-15.930
11420,276,-61,1.068,610,-37.170,-14.709
11428,265,-72,1.059,-8.667,-30.029,-11.719
11437,269,-39,1.039,-17.273,-22.888,-7.996
11446,290,8,1.010,-22.949,-15.808,-4.272
11454,297,56,990,-23.743,-12.634,-2.136
11462,305,96,985,-19.836,-12.634,-2.136
11471,302,95,976,-13.611,-15.259,-2.686
11479,293,63,980,-7.324,-18.005,-3.479
11487,274,20,976,-4.395,-19.592,-4.150
11496,264,1,957,-5.188,-18.616,-3.845
11504,270,5,931,-8.667,-16.418,-2.808
11513,274,11,927,-13.000,-15.503,-1.953
11521,270,25,949,-17.212,-15.564,-1.282
11530,259,36,973,-20.081,-15.808,-977
11538,246,33,993,-20.813,-15.564,-549
11547,241,22,1.001,-19.958,-14.221,1.038
11555,246,17,1.001,-19.165,-12.390,3.113
11564,239,23,995,-18.555,-10.742,5.310
